PostalCode,Borough,Neighborhood2,Neighborhood
M1B,Scarborough,"Malvern, Rouge","Malvern, Rouge"
M1C,Scarborough,"Rouge Hill, Port Union, Highland Creek","Rouge Hill, Port Union, Highland Creek"
M1E,Scarborough,"Guildwood, Morningside, West Hill","Guildwood, Morningside, West Hill"
M1G,Scarborough,Woburn,Woburn
M1H,Scarborough,Cedarbrae,Cedarbrae
M1J,Scarborough,Scarborough Village,Scarborough Village
M1K,Scarborough,"Kennedy Park, Ionview, East Birchmount Park","Kennedy Park, Ionview, East Birchmount Park"
M1L,Scarborough,"Golden Mile, Clairlea, Oakridge","Golden Mile, Clairlea, Oakridge"
M1M,Scarborough,"Cliffside, Cliffcrest, Scarborough Village West","Cliffside, Cliffcrest, Scarborough Village West"
M1N,Scarborough,"Birch Cliff, Cliffside West","Birch Cliff, Cliffside West"
M1P,Scarborough,"Dorset Park, Wexford Heights, Scarborough Town Centre","Dorset Park, Wexford Heights, Scarborough Town Centre"
M1R,Scarborough,"Wexford, Maryvale","Wexford, Maryvale"
M1S,Scarborough,Agincourt,Agincourt
M1T,Scarborough,"Clarks Corners, Tam O'Shanter, Sullivan","Clarks Corners, Tam O'Shanter, Sullivan"
M1V,Scarborough,"Milliken, Agincourt North, Steeles East, L'Amoreaux East","Milliken, Agincourt North, Steeles East, L'Amoreaux East"
M1W,Scarborough,"Steeles West, L'Amoreaux West","Steeles West, L'Amoreaux West"
M1X,Scarborough,Upper Rouge,Upper Rouge
M2H,North York,Hillcrest Village,Hillcrest Village
M2J,North York,"Fairview, Henry Farm, Oriole","Fairview, Henry Farm, Oriole"
M2K,North York,Bayview Village,Bayview Village
M2L,North York,"York Mills, Silver Hills","York Mills, Silver Hills"
M2M,North York,"Willowdale, Newtonbrook","Willowdale, Newtonbrook"
M2N,North York,Willowdale,Willowdale
M2P,North York,York Mills West,York Mills West
M2R,North York,Willowdale,Willowdale
M3A,North York,Parkwoods,Parkwoods
M3B,North York,Don Mills,Don Mills
M3C,North York,Don Mills,Don Mills
M3H,North York,"Bathurst Manor, Wilson Heights, Downsview North","Bathurst Manor, Wilson Heights, Downsview North"
M3J,North York,"Northwood Park, York University","Northwood Park, York University"
M3K,North York,Downsview,Downsview
M3L,North York,Downsview,Downsview
M3M,North York,Downsview,Downsview
M3N,North York,Downsview,Downsview
M4A,North York,Victoria Village,Victoria Village
M4B,East York,"Parkview Hill, Woodbine Gardens","Parkview Hill, Woodbine Gardens"
M4C,East York,Woodbine Heights,Woodbine Heights
M4E,East Toronto,The Beaches,The Beaches
M4G,East York,Leaside,Leaside
M4H,East York,Thorncliffe Park,Thorncliffe Park
M4J,East York,East Toronto,East Toronto
M4K,East Toronto,"The Danforth West, Riverdale","The Danforth West, Riverdale"
M4L,East Toronto,"India Bazaar, The Beaches West","India Bazaar, The Beaches West"
M4M,East Toronto,Studio District,Studio District
M4N,Central Toronto,Lawrence Park,Lawrence Park
M4P,Central Toronto,Davisville North,Davisville North
M4R,Central Toronto,North Toronto West,North Toronto West
M4S,Central Toronto,Davisville,Davisville
M4T,Central Toronto,"Moore Park, Summerhill East","Moore Park, Summerhill East"
M4V,Central Toronto,"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park","Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park"
M4W,Downtown Toronto,Rosedale,Rosedale
M4X,Downtown Toronto,"St. James Town, Cabbagetown","St. James Town, Cabbagetown"
M4Y,Downtown Toronto,Church and Wellesley,Church and Wellesley
M5A,Downtown Toronto,"Regent Park, Harbourfront","Regent Park, Harbourfront"
M5B,Downtown Toronto,"Garden District, Ryerson","Garden District, Ryerson"
M5C,Downtown Toronto,St. James Town,St. James Town
M5E,Downtown Toronto,Berczy Park,Berczy Park
M5G,Downtown Toronto,Central Bay Street,Central Bay Street
M5H,Downtown Toronto,"Richmond, Adelaide, King","Richmond, Adelaide, King"
M5J,Downtown Toronto,"Harbourfront East, Union Station, Toronto Islands","Harbourfront East, Union Station, Toronto Islands"
M5K,Downtown Toronto,"Toronto Dominion Centre, Design Exchange","Toronto Dominion Centre, Design Exchange"
M5L,Downtown Toronto,"Commerce Court, Victoria Hotel","Commerce Court, Victoria Hotel"
M5M,North York,"Bedford Park, Lawrence Manor East","Bedford Park, Lawrence Manor East"
M5N,Central Toronto,Roselawn,Roselawn
M5P,Central Toronto,Forest Hill North & West,Forest Hill North & West
M5R,Central Toronto,"The Annex, North Midtown, Yorkville","The Annex, North Midtown, Yorkville"
M5S,Downtown Toronto,"University of Toronto, Harbord","University of Toronto, Harbord"
M5T,Downtown Toronto,"Kensington Market, Chinatown, Grange Park","Kensington Market, Chinatown, Grange Park"
M5V,Downtown Toronto,"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport","CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport"
M5W,Downtown Toronto,Stn A PO Boxes,Stn A PO Boxes
M5X,Downtown Toronto,"First Canadian Place, Underground city","First Canadian Place, Underground city"
M6A,North York,"Lawrence Manor, Lawrence Heights","Lawrence Manor, Lawrence Heights"
M6B,North York,Glencairn,Glencairn
M6C,York,Humewood-Cedarvale,Humewood-Cedarvale
M6E,York,Caledonia-Fairbanks,Caledonia-Fairbanks
M6G,Downtown Toronto,Christie,Christie
M6H,West Toronto,"Dufferin, Dovercourt Village","Dufferin, Dovercourt Village"
M6J,West Toronto,"Little Portugal, Trinity","Little Portugal, Trinity"
M6K,West Toronto,"Brockton, Parkdale Village, Exhibition Place","Brockton, Parkdale Village, Exhibition Place"
M6L,North York,"North Park, Maple Leaf Park, Upwood Park","North Park, Maple Leaf Park, Upwood Park"
M6M,York,"Del Ray, Mount Dennis, Keelsdale and Silverthorn","Del Ray, Mount Dennis, Keelsdale and Silverthorn"
M6N,York,"Runnymede, The Junction North","Runnymede, The Junction North"
M6P,West Toronto,"High Park, The Junction South","High Park, The Junction South"
M6R,West Toronto,"Parkdale, Roncesvalles","Parkdale, Roncesvalles"
M6S,West Toronto,"Runnymede, Swansea","Runnymede, Swansea"
M7A,Downtown Toronto,"Queen's Park, Ontario Provincial Government","Queen's Park, Ontario Provincial Government"
M7R,Mississauga,Canada Post Gateway Processing Centre,Canada Post Gateway Processing Centre
M7Y,East Toronto,Business reply mail Processing Centre,Business reply mail Processing Centre
M8V,Etobicoke,"New Toronto, Mimico South, Humber Bay Shores","New Toronto, Mimico South, Humber Bay Shores"
